company_id,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet
2.0,Empresa Dois,BR,energy_power,l,memberships,sbti,1.0,2024-05-15T00:00:00Z,https://ejemplo.com/sbti,Membership: sbti,Empresa Dois
3.0,Empresa Tres,MX,retail_consumer,s,memberships,re100,1.0,2024-04-02T00:00:00Z,https://ejemplo.com/re100,Membership: re100,Empresa Tres
,,,,,news,news,1.0,2025-09-25T15:50:52+00:00,https://news.google.com/rss/articles/CBMidkFVX3lxTFBoazB4Um8yeEZlTm1hTXNibXVLQTlkVTRlV3laQ2lUai1CYS0za1ZSUmJ3V1FJajRPcFhDWnU3RjNIVUItQ3BoMEhKenNDZWZSYWcycEJYVFpfSjNqaG1tcDFERzJHYjNOMXVfaW1PU21OZHBwVWc?oc=5,"Climate tech out, dual-use in at The Drop - Sifted","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTFBoazB4Um8yeEZlTm1hTXNibXVLQTlkVTRlV3laQ2lUai1CYS0za1ZSUmJ3V1FJajRPcFhDWnU3RjNIVUItQ3BoMEhKenNDZWZSYWcycEJYVFpfSjNqaG1tcDFERzJHYjNOMXVfaW1PU21OZHBwVWc?oc=5"" target=""_blank"">Climate tech out, dual-use in at The Drop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sifted</font>"
,,,,,news,news,1.0,2025-09-08T07:00:00+00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxON1ROLXFMMUpyNW1JXy1pWHZLQUktcTZnb3lQcm9zNzBnOVJfQzg4TDVtOHlpbnRNeHlVd0EtRnRzZ0hzQUJpWE5BS3VHZG1YM29RV29hS3otcm40bGJ1T3dKOW80SEhkckNnMlpoS1V6S2RaeVFvNThqQ1RGQUh6dzFfLWpRN0NzZmlndktES29nVVlmWWVFUE1wdHFta3R5UE5iaFZvdHRocGxDaXoxbA?oc=5,$60 Billion Venture Capital Coalition Launches New Fund to Scale Climate Tech Startups - ESG Today,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxON1ROLXFMMUpyNW1JXy1pWHZLQUktcTZnb3lQcm9zNzBnOVJfQzg4TDVtOHlpbnRNeHlVd0EtRnRzZ0hzQUJpWE5BS3VHZG1YM29RV29hS3otcm40bGJ1T3dKOW80SEhkckNnMlpoS1V6S2RaeVFvNThqQ1RGQUh6dzFfLWpRN0NzZmlndktES29nVVlmWWVFUE1wdHFta3R5UE5iaFZvdHRocGxDaXoxbA?oc=5"" target=""_blank"">$60 Billion Venture Capital Coalition Launches New Fund to Scale Climate Tech Startups</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESG Today</font>"
,,,,,news,news,1.0,2025-10-01T14:40:47+00:00,https://news.google.com/rss/articles/CBMiugFBVV95cUxPbTJIbl8tR282Z0VJbGRlM0o4bkRSbUp5QjVJcFVsTkNMVFEwaVpvR3dkX1l3b0ZzQjNLWnNicDZXeFBRb2JZeFNzQ2NGWTdsNzBBWF9YZ1J0OERxWE0tME1HRkRTYTQtWkVweTR3ejlaT0NWdXozT1JFVWI3Z015MDM3amtrRGtnR2VmZ1NyNUdQZ041MnRxMDU2Z1AxNG9feTZqQ3hTY0lpU3ItdEJQb1ZkZVBtczJpeWc?oc=5,Climate Tech Fellows Make Their Mark at The New York Climate Exchange Showcase - SBU News,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPbTJIbl8tR282Z0VJbGRlM0o4bkRSbUp5QjVJcFVsTkNMVFEwaVpvR3dkX1l3b0ZzQjNLWnNicDZXeFBRb2JZeFNzQ2NGWTdsNzBBWF9YZ1J0OERxWE0tME1HRkRTYTQtWkVweTR3ejlaT0NWdXozT1JFVWI3Z015MDM3amtrRGtnR2VmZ1NyNUdQZ041MnRxMDU2Z1AxNG9feTZqQ3hTY0lpU3ItdEJQb1ZkZVBtczJpeWc?oc=5"" target=""_blank"">Climate Tech Fellows Make Their Mark at The New York Climate Exchange Showcase</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SBU News</font>"
,,,,,news,news,1.0,2025-10-01T12:06:50+00:00,https://news.google.com/rss/articles/CBMilgFBVV95cUxOb3NLNHhoVEdzWWpTb0FLQUJlVDl6R0dCR3QzLTZrbm50N1lZMmo0WWpqaWNoS1hJOTl0ckJCSjVueFp3QVZQQVg3LXBSc2s1THBQc0ZNdllBbGRwaFB1WkpWdUVGZkh5RHVGLUE3V3hndndNRXN0NU1pbzVGd3BuMjZRdEhBVzhwbk1QZWp1YXJfMnhrVVE?oc=5,GreenieRe sees ‘impact insurance’ surety bonds as key to scaling climate tech - ImpactAlpha,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOb3NLNHhoVEdzWWpTb0FLQUJlVDl6R0dCR3QzLTZrbm50N1lZMmo0WWpqaWNoS1hJOTl0ckJCSjVueFp3QVZQQVg3LXBSc2s1THBQc0ZNdllBbGRwaFB1WkpWdUVGZkh5RHVGLUE3V3hndndNRXN0NU1pbzVGd3BuMjZRdEhBVzhwbk1QZWp1YXJfMnhrVVE?oc=5"" target=""_blank"">GreenieRe sees ‘impact insurance’ surety bonds as key to scaling climate tech</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ImpactAlpha</font>"
,,,,,news,news,1.0,2025-09-30T16:00:29+00:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNeGtqMEY0VkZucUZfb0UtOTBBcjcyQzhqRkZGVHZhVTZoS1diT1pyNTFrVDdDUktTcHY3V2pmcWs5UGRnMUVxTVdxYmxodHQ2ZDZnM3NjREVGc0J5dHEzM1VkT1pDS2REbXFkbWR4VndUaEFjYUM5YWlQOFlJWGp3UEkyMVBhYnZsdlZKRmIxYUZmWEdYeWV6WEFxNnI3TUZkSWFXc1ozUHdQd3VMVTkwMVlMMThiQTJj?oc=5,The $270 Trillion Opportunity That Awaits Climate Tech Founders - Forbes,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNeGtqMEY0VkZucUZfb0UtOTBBcjcyQzhqRkZGVHZhVTZoS1diT1pyNTFrVDdDUktTcHY3V2pmcWs5UGRnMUVxTVdxYmxodHQ2ZDZnM3NjREVGc0J5dHEzM1VkT1pDS2REbXFkbWR4VndUaEFjYUM5YWlQOFlJWGp3UEkyMVBhYnZsdlZKRmIxYUZmWEdYeWV6WEFxNnI3TUZkSWFXc1ozUHdQd3VMVTkwMVlMMThiQTJj?oc=5"" target=""_blank"">The $270 Trillion Opportunity That Awaits Climate Tech Founders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>"
,,,,,news,news,1.0,2025-10-01T12:36:00+00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxPOUZzSm8xUHFpMGoxX2RYbnlrYTktanJvd0p3c2pfTVpzZk5xNl9odHA5cVMzaU1CcXlHbTFNZzEtMWFxbDgyRUxwSzNVYmRqWUp0cHkteUlTa2xXNHI5YlVzZ3ZjRGd1eU5YSXFOQ2UtLVVFZEt1blU3cXNiTkZYS1BwMzNkaEtNZExUMkVBVDJ4ei05b0s2Y19CdlZIRXpTX2hLZTRnSjhTUG55TE4tNDJn?oc=5,‘Net zero economy making maves’: insights from IVGF - Net Zero Investor,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPOUZzSm8xUHFpMGoxX2RYbnlrYTktanJvd0p3c2pfTVpzZk5xNl9odHA5cVMzaU1CcXlHbTFNZzEtMWFxbDgyRUxwSzNVYmRqWUp0cHkteUlTa2xXNHI5YlVzZ3ZjRGd1eU5YSXFOQ2UtLVVFZEt1blU3cXNiTkZYS1BwMzNkaEtNZExUMkVBVDJ4ei05b0s2Y19CdlZIRXpTX2hLZTRnSjhTUG55TE4tNDJn?oc=5"" target=""_blank"">‘Net zero economy making maves’: insights from IVGF</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Net Zero Investor</font>"
,,,,,news,news,1.0,2025-09-30T11:55:22+00:00,https://news.google.com/rss/articles/CBMilgFBVV95cUxOcmhzaENtbWk4Tm5sVXNyR0YtQ2hHTG04WlpzOTJfazMtbkh2dHJDMk9vUFV5YWljalJpNXJIbVpUZXNQMUI0VUFzR29uX21BNG9acFFUMy05T2MxMWNfQUdXSGJ0aWpvQy1YdDlEOWppNV9vUlNkZGVpcV9GdGtKYjMxa2Nkd0xsSkNubWc3TzRmNFd4YVE?oc=5,"Stanford, McKinsey & Partners Launch New Climate Tech Atlas Platform - Carbon Herald","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOcmhzaENtbWk4Tm5sVXNyR0YtQ2hHTG04WlpzOTJfazMtbkh2dHJDMk9vUFV5YWljalJpNXJIbVpUZXNQMUI0VUFzR29uX21BNG9acFFUMy05T2MxMWNfQUdXSGJ0aWpvQy1YdDlEOWppNV9vUlNkZGVpcV9GdGtKYjMxa2Nkd0xsSkNubWc3TzRmNFd4YVE?oc=5"" target=""_blank"">Stanford, McKinsey & Partners Launch New Climate Tech Atlas Platform</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Carbon Herald</font>"
,,,,,news,news,1.0,2025-09-29T10:00:00+00:00,https://news.google.com/rss/articles/CBMingFBVV95cUxPZGhoX3lfMjcteGV5VzBVak9zbmZfRkxDejBSUkFOd2JaM2xsTWxQRW9kOGJsaU9neG5BeE1zT25pazV1MnBRZWpYMXdocUtwQ1VRSU9jY3FKZVFkRUVxOGpBVmVmUC14RzF2d3BvUllRZF9UMlhlOXBGM3dSZmoyTWNuTnBKRXRuWWZGM3JRSTVpdEd4TWJJcml4b3RjQdIBowFBVV95cUxQY0ppclFKeDJOT2pyaUtVMkxLLVg4dGF3RDM5cThLZld6X0RScmpGczRuLVA4N0VrYWNhNUt2WjBqeXJxMnlZQy1XTnNiWU83SGh5WlBienNOY1FCeS0xSWdCekgtY1Vtd3ItX0Jzd25YWWIwM2tQMUFzdi10SXVPcjlBakphWkdFV1ItSF92bDZnV3hacE5Xcjdnemc1MmNBU2Vj?oc=5,Coming soon: Our 2025 list of Climate Tech Companies to Watch - MIT Technology Review,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPZGhoX3lfMjcteGV5VzBVak9zbmZfRkxDejBSUkFOd2JaM2xsTWxQRW9kOGJsaU9neG5BeE1zT25pazV1MnBRZWpYMXdocUtwQ1VRSU9jY3FKZVFkRUVxOGpBVmVmUC14RzF2d3BvUllRZF9UMlhlOXBGM3dSZmoyTWNuTnBKRXRuWWZGM3JRSTVpdEd4TWJJcml4b3RjQdIBowFBVV95cUxQY0ppclFKeDJOT2pyaUtVMkxLLVg4dGF3RDM5cThLZld6X0RScmpGczRuLVA4N0VrYWNhNUt2WjBqeXJxMnlZQy1XTnNiWU83SGh5WlBienNOY1FCeS0xSWdCekgtY1Vtd3ItX0Jzd25YWWIwM2tQMUFzdi10SXVPcjlBakphWkdFV1ItSF92bDZnV3hacE5Xcjdnemc1MmNBU2Vj?oc=5"" target="
