company_id,company_qid,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet,climate_score,sentiment_label,sentiment_score
257,Q1321868,LATAM Airlines Group,CL,transport_logistics,l,memberships,sbti,1.0,2019-11-01 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,International Consolidated Airlines Group (IAG),1.0,positive,0.6
257,Q1321868,LATAM Airlines Group,CL,transport_logistics,l,memberships,sbti,1.0,2019-11-01 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,International Consolidated Airlines Group (IAG),0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2019-11-28 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"IBERIA, Líneas Aéreas de España, S.A",1.0,positive,0.6
298,Q1539501,Pluna Líneas Aéreas Uruguayas,UY,transport_logistics,m,memberships,sbti,1.0,2019-11-28 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"IBERIA, Líneas Aéreas de España, S.A",1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2019-12-26 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Vale S.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2020-01-09 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Aguas Andinas S.A.,1.0,positive,0.6
257,Q1321868,LATAM Airlines Group,CL,transport_logistics,l,memberships,sbti,1.0,2020-03-12 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,LATAM Airlines Group S.A.,1.0,positive,0.6
257,Q1321868,LATAM Airlines Group,CL,transport_logistics,l,memberships,sbti,1.0,2020-03-12 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,LATAM Airlines Group S.A.,0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2020-03-26 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,A2A S.p.A.,1.0,positive,0.6
352,Q20022051,Transporte Automotor La Plata S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2020-03-26 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,A2A S.p.A.,0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2020-08-20 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Siemens Gamesa Renewable Energy, S.A.",1.0,positive,0.6
391,ext::abaet-linhas-a-reas-br,Abaeté Linhas Aéreas,BR,transport_logistics,m,memberships,sbti,1.0,2020-08-20 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,GOL (GOL Linhas Aéreas S.A.),1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2020-08-27 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"America Movil, S.A.B. de C.V.",1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2020-12-10 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Ferrero International S.A.,1.0,positive,0.6
486,Q47099,Grupo Televisa,MX,ict_telecom,l,memberships,sbti,1.0,2021-01-14 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Grupo Televisa, S.A.B.",1.0,positive,0.6
