industry,source,events
agro_food_beverage,ALL,1472
agro_food_beverage,memberships,1468
agro_food_beverage,news,4
construction_infrastructure_realestate,ALL,410
construction_infrastructure_realestate,memberships,409
construction_infrastructure_realestate,news,1
energy_power_utilities,ALL,167
energy_power_utilities,memberships,165
energy_power_utilities,news,2
environmental_circular_services,ALL,95
environmental_circular_services,memberships,95
finance_insurance_capital,ALL,311
finance_insurance_capital,memberships,308
finance_insurance_capital,news,3
healthcare_pharma_biotech,ALL,166
healthcare_pharma_biotech,memberships,166
hospitality_tourism_leisure,ALL,138
hospitality_tourism_leisure,memberships,137
hospitality_tourism_leisure,news,1
ict_digital_media,ALL,642
ict_digital_media,memberships,633
ict_digital_media,news,9
industrial_manufacturing,ALL,690
industrial_manufacturing,memberships,658
industrial_manufacturing,news,32
mining_materials,ALL,119
mining_materials,memberships,118
mining_materials,news,1
oil_gas,ALL,197
oil_gas,memberships,192
oil_gas,news,5
professional_services_consulting,ALL,153
professional_services_consulting,memberships,153
public_social_education,ALL,118
public_social_education,memberships,117
public_social_education,news,1
retail_consumer_services,ALL,1216
retail_consumer_services,memberships,1214
retail_consumer_services,news,2
transport_mobility_logistics,ALL,667
transport_mobility_logistics,memberships,659
transport_mobility_logistics,news,8
