company_name,country,industry_friendly,signal_mix,has_sbti,event_count,score,justification
Fidocar,UY,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=UY (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2020-10-22)
ACE SCHMERSAL,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-07-03)
Eletroligas Ltda,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-06-01)
Vidroporto S.A.,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-06-30)
Gelopar Refrigeração Paranaense Ltda,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-10-05)
GLOBALPACK INDUSTRIA E COMERCIO LTDA.,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-06-06)
Fundição Moreno Ltda,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-07-07)
Fábrica de Papel e Papelão Nossa Senhora da Penha S/A,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-12-14)
Funfer Fundição de Ferro LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-08-18)
Electro Aço Altona S.A.,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-12-05)
OMR COMPONENTES AUTOMOTIVOS LTDA,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-03-21)
PANAMERICANA FORMAS E IMPRESOS S.A,CO,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-10-26)
PAMA MECANICA E FUNDIÇÃO LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-10-27)
Arezzo & Co,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-07-04)
PPE   FIOS ESMALTADOS S.A,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-03-13)
Polistampo Indústria Metalúrgica Ltda.,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-08-15)
CPFL Energia,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-09-18)
Asserco SPA,CL,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CL (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-03-27)
SIDERVAL S.A.,CL,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CL (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-01-04)
