company_name,country,industry_friendly,signal_mix,has_sbti,event_count,score,justification
IGB Eletrônica,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-04-27)
CORPORACIÓN ACEROS AREQUIPA S.A.,PE,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=PE (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-08-01)
Quimpac,CO,Agro & alimentos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Agro & alimentos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-07-20)
COREBOX AGENCIA DE COMUNICACAO E DESENVOLVIMENTO TECNICO-CIENTIFICO LTDA,BR,Agro & alimentos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Agro & alimentos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-06-26)
Eletroligas Ltda,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-06-01)
Electro Aço Altona S.A.,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-12-05)
PPE   FIOS ESMALTADOS S.A,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-03-13)
PROCAFECOL S.A.,CO,Agro & alimentos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Agro & alimentos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-09-29)
PANAMERICANA FORMAS E IMPRESOS S.A,CO,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-10-26)
LUKER AGRÍCOLA,CO,Agro & alimentos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Agro & alimentos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2021-09-30)
Capricórnio Têxtil,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-07-24)
PAMA MECANICA E FUNDIÇÃO LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-10-27)
Industrias Nettalco S.A.,PE,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=PE (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-08-14)
Funfer Fundição de Ferro LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-08-18)
ITALBRONZE LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-06-30)
Vicente Trapani S.A.,AR,Agro & alimentos,sbti:1,True,1,1.442,1 señales (sbti:1); país=AR (w=1.0); industria=Agro & alimentos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-08-22)
