row_idx,entity_id,old_industry,new_industry,reason,score,sector_hint
0,ext::ungc::natura-co-br,agro_food_beverage,agro_food,weighted,5.5,
1,ext::ungc::copel-companhia-paranaense-de-energia-br,energy_power_utilities,energy_power,weighted,2.0,
2,ext::ungc::samarco-mineracao-s-a-br,mining_materials,mining_metals,weighted,5.0,
3,ext::ungc::suzano-s-a-br,industrial_manufacturing,manufacturing,weighted,3.0,
4,ext::ungc::masisa-s-a-cl,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
5,581,finance_insurance_capital,finance_insurance,weighted,5.5,
6,59,finance_insurance_capital,finance_insurance,weighted,5.5,
7,ext::ungc::ccu-s-a-cl,agro_food_beverage,agro_food,weighted,5.5,
8,ext::ungc::instituto-ethos-de-empresas-e-responsibilidade-social-br,transport_mobility_logistics,public_social_education,alias,,
9,ext::ungc::fundacao-dom-cabral-br,ict_digital_media,ict_telecom,weighted,2.0,
10,ext::ungc::fiep-federa-o-das-ind-strias-do-estado-do-paran-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
11,ext::ungc::gs1-brasil-associacao-brasileira-de-automocao-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
12,ext::ungc::fiesp-federacao-das-industrias-do-estado-de-sao-paulo-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
13,ext::ungc::banco-fibra-br,finance_insurance_capital,finance_insurance,weighted,5.5,
14,ext::ungc::itau-unibanco-sa-br,finance_insurance_capital,finance_insurance,weighted,5.5,
15,ext::ungc::colegio-lacordaire-sant-anna-sc-ltda-br,ict_digital_media,public_social_education,alias,,
17,ext::ungc::grupo-pao-de-acucar-companhia-brasileira-de-distribuicao-br,retail_consumer_services,retail_consumer,weighted,6.0,
18,ext::ungc::klabin-s-a-br,industrial_manufacturing,manufacturing,weighted,3.0,
19,ext::ungc::serasa-experian-br,agro_food_beverage,agro_food,weighted,5.5,
20,ext::ungc::grupo-boticario-br,agro_food_beverage,agro_food,weighted,5.5,
21,ext::ungc::federaci-n-nacional-de-cafeteros-de-colombia-co,agro_food_beverage,agro_food,weighted,5.5,
22,ext::ungc::sebrae-br,ict_digital_media,ict_telecom,weighted,2.0,
23,ext::ungc::elektro-redes-s-a-br,energy_power_utilities,energy_power,weighted,2.0,
24,ext::ungc::universidad-del-pacifico-pe,ict_digital_media,public_social_education,alias,,
25,855,finance_insurance_capital,finance_insurance,weighted,5.5,
27,1001,finance_insurance_capital,finance_insurance,weighted,5.5,
28,ext::ungc::abrh-brasil-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
29,ext::ungc::cpfl-energia-s-a-br,energy_power_utilities,energy_power,weighted,2.0,
30,ext::ungc::asociacion-civil-estudios-y-proyectos-ar,ict_digital_media,ict_telecom,weighted,2.0,
31,316,transport_mobility_logistics,transport_logistics,weighted,7.5,
32,ext::ungc::agricola-chapi-s-a-pe,agro_food_beverage,agro_food,weighted,5.5,
33,1,mining_materials,mining_metals,weighted,5.0,
34,ext::ungc::uni-n-andina-de-cementos-s-a-a-unacem-pe,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
35,ext::ungc::datum-internacional-s-a-pe,industrial_manufacturing,manufacturing,weighted,3.0,
36,ext::ungc::ilender-peru-s-a-pe,ict_digital_media,healthcare_pharma_biotech,weighted,5.5,
37,ext::ungc::argenti-lemon-ar,agro_food_beverage,agro_food,weighted,5.5,
38,ext::ungc::ferreycorp-pe,industrial_manufacturing,manufacturing,weighted,3.0,
39,ext::ungc::red-de-energia-del-peru-s-a-pe,energy_power_utilities,energy_power,weighted,2.0,
40,ext::ungc::veracel-celulose-s-a-br,industrial_manufacturing,manufacturing,weighted,3.0,
41,ext::ungc::instituto-curitiba-de-informatica-br,ict_digital_media,public_social_education,alias,,
42,ext::ungc::securitas-peru-pe,industrial_manufacturing,manufacturing,weighted,3.0,
43,ext::ungc::bbva-mx,finance_insurance_capital,finance_insurance,weighted,5.5,
44,ext::ungc::instituto-de-estudos-legislativos-brasileiro-idelb-br,ict_digital_media,public_social_education,alias,,
45,948,oil_gas,transport_logistics,weighted,5.5,
46,ext::ungc::holcim-argentina-ar,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
47,ext::ungc::grupo-clarin-s-a-ar,ict_digital_media,ict_telecom,weighted,2.0,
48,735,transport_mobility_logistics,transport_logistics,weighted,7.5,
49,299,ict_digital_media,ict_telecom,weighted,4.5,
51,ext::ungc::grupo-motta-ar,agro_food_beverage,agro_food,weighted,5.5,
53,ext::ungc::bbva-banco-frances-s-a-ar,finance_insurance_capital,finance_insurance,weighted,5.5,
54,948,oil_gas,transport_logistics,weighted,5.5,
55,ext::ungc::empresa-de-distribucion-electrica-de-tucuman-edet-s-a-ar,energy_power_utilities,energy_power,weighted,2.0,
56,ext::ungc::cia-azucarera-los-balcanes-s-a-ar,energy_power_utilities,energy_power,weighted,2.0,
57,ext::ungc::universidad-nacional-de-villa-maria-ar,ict_digital_media,public_social_education,alias,,
58,ext::ungc::invap-s-e-ar,ict_digital_media,manufacturing,weighted,2.0,
59,ext::ungc::taranto-san-juan-s-a-ar,ict_digital_media,ict_telecom,weighted,2.0,
60,ext::ungc::instituto-argentino-de-normalizacion-iram-ar,ict_digital_media,public_social_education,alias,,
61,592,retail_consumer_services,retail_consumer,weighted,6.0,
62,ext::ungc::asociacion-cristiana-de-dirigentes-de-empresa-argentina-ar,transport_mobility_logistics,transport_logistics,weighted,7.5,
63,ext::ungc::deloitte-co-sa-ar,agro_food_beverage,agro_food,weighted,5.5,
64,ext::ungc::empresa-provincial-de-energia-de-cordoba-ar,energy_power_utilities,energy_power,weighted,2.0,
65,ext::ungc::abrapp-associacao-brasileira-das-entidades-fechadas-de-previ-br,ict_digital_media,ict_telecom,weighted,2.0,
66,948,oil_gas,transport_logistics,weighted,5.5,
67,ext::ungc::basso-s-a-ar,ict_digital_media,ict_telecom,weighted,2.0,
68,ext::ungc::banco-galicia-ar,finance_insurance_capital,finance_insurance,weighted,5.5,
69,ext::ungc::asociacion-de-bancos-de-la-argentina-aba-ar,finance_insurance_capital,finance_insurance,weighted,5.5,
70,ext::ungc::cooperativa-electrica-colon-bs-as-ar,transport_mobility_logistics,transport_logistics,weighted,7.5,
71,ext::ungc::covemat-s-r-l-ar,transport_mobility_logistics,transport_logistics,weighted,7.5,
72,ext::ungc::la-voz-del-interior-s-a-ar,ict_digital_media,ict_telecom,weighted,2.0,
73,173,finance_insurance_capital,finance_insurance,weighted,2.5,
74,ext::ungc::tecnovo-s-a-ar,agro_food_beverage,agro_food,weighted,5.5,
75,1015,agro_food_beverage,agro_food,weighted,5.5,
76,ext::ungc::enel-generacion-chile-cl,energy_power_utilities,energy_power,weighted,2.0,
77,ext::ungc::union-industrial-argentina-ar,transport_mobility_logistics,transport_logistics,weighted,7.5,
78,855,finance_insurance_capital,finance_insurance,weighted,5.5,
79,1191,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
80,ext::ungc::schneider-electric-argentina-ar,energy_power_utilities,energy_power,weighted,2.0,
82,ext::ungc::fundacion-grupo-social-co,ict_digital_media,public_social_education,alias,,
83,ext::ungc::enel-distribucion-chile-cl,energy_power_utilities,energy_power,weighted,2.0,
84,ext::ungc::enel-generacion-peru-s-a-a-pe,energy_power_utilities,energy_power,weighted,2.0,
87,ext::ungc::universidad-externado-de-colombia-co,ict_digital_media,public_social_education,alias,,
88,ext::ungc::carbones-del-cerrejon-limited-co,mining_materials,mining_metals,weighted,5.0,
89,ext::ungc::basf-argentina-s-a-ar,agro_food_beverage,agro_food,weighted,5.5,
90,ext::ungc::unilever-de-argentina-ar,industrial_manufacturing,manufacturing,weighted,3.0,
91,ext::ungc::mastellone-hermanos-s-a-ar,agro_food_beverage,agro_food,weighted,5.5,
92,ext::ungc::siemens-s-a-ar,industrial_manufacturing,manufacturing,weighted,3.0,
93,292,retail_consumer_services,retail_consumer,weighted,6.0,
94,ext::ungc::eletropaulo-metropolitana-eletricidade-de-sao-paulo-s-a-br,energy_power_utilities,energy_power,weighted,2.0,
95,ext::ungc::la-agricola-regional-cooperativa-limitida-agropecruaria-de-c-ar,agro_food_beverage,agro_food,weighted,5.5,
96,ext::ungc::enel-cien-br,energy_power_utilities,energy_power,weighted,2.0,
97,ext::ungc::lions-clube-curitiba-batel-br,ict_digital_media,ict_telecom,weighted,2.0,
98,ext::ungc::fundacion-aviatur-co,ict_digital_media,public_social_education,alias,,
99,ext::ungc::asociaci-n-nacional-de-empresarios-andi-co,transport_mobility_logistics,transport_logistics,weighted,7.5,
100,ext::ungc::telefonica-colombia-co,ict_digital_media,ict_telecom,weighted,4.5,
102,ext::ungc::interconexion-electrica-s-a-isa-esp-co,energy_power_utilities,energy_power,weighted,2.0,
103,ext::ungc::etb-empresa-de-telecomunicaciones-de-bogota-co,ict_digital_media,ict_telecom,weighted,4.5,
105,ext::ungc::enel-generacion-piura-s-a-pe,energy_power_utilities,energy_power,weighted,2.0,
106,ext::ungc::fundacion-cultural-baur-a-c-colegio-carol-baur-mx,ict_digital_media,public_social_education,alias,,
107,ext::ungc::b3-br,finance_insurance_capital,ict_telecom,weighted,3.0,
108,ext::ungc::internacional-de-ceramica-s-a-b-de-c-v-mx,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
109,1188,agro_food_beverage,agro_food,weighted,5.5,
111,ext::ungc::grupo-kaltex-mx,agro_food_beverage,agro_food,weighted,5.5,
113,ext::ungc::galletera-de-puebla-s-a-de-c-v-mx,agro_food_beverage,agro_food,weighted,5.5,
114,ext::ungc::basf-mexicana-s-a-de-c-v-mx,agro_food_beverage,agro_food,weighted,5.5,
115,ext::ungc::gruma-s-a-de-c-v-mx,agro_food_beverage,agro_food,weighted,5.5,
116,ext::ungc::grupo-lala-s-a-b-de-c-v-mx,agro_food_beverage,agro_food,weighted,5.5,
117,ext::ungc::alfa-s-a-b-de-c-v-mx,industrial_manufacturing,manufacturing,weighted,3.0,
118,ext::ungc::monex-grupo-financiero-s-a-de-c-v-mx,finance_insurance_capital,finance_insurance,weighted,5.5,
119,1126,industrial_manufacturing,manufacturing,weighted,3.0,
120,ext::ungc::copachisa-s-a-de-c-v-mx,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
121,ext::ungc::delphinus-mx,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
122,ext::ungc::paulina-youth-hostel-mx,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
123,ext::ungc::bombril-s-a-br,industrial_manufacturing,manufacturing,weighted,3.0,
124,ext::ungc::enel-distribucion-peru-s-a-a-pe,energy_power_utilities,energy_power,weighted,2.0,
125,ext::ungc::agr-cola-chaparral-s-a-de-c-v-mx,agro_food_beverage,agro_food,weighted,5.5,
126,ext::ungc::industrias-penoles-s-a-b-de-c-v-mx,mining_materials,mining_metals,weighted,5.0,
127,ext::ungc::grupo-tuvanosa-mx,retail_consumer_services,retail_consumer,weighted,6.0,
128,ext::ungc::promotora-accse-s-a-de-c-v-mx,industrial_manufacturing,manufacturing,weighted,3.0,
129,ext::ungc::bio-pappel-s-a-de-c-v-mx,industrial_manufacturing,manufacturing,weighted,3.0,
130,ext::ungc::felipe-ochoa-y-asociados-s-c-mx,industrial_manufacturing,manufacturing,weighted,3.0,
131,ext::ungc::promon-s-a-br,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
132,ext::ungc::la-viga-s-a-pe,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
133,497,finance_insurance_capital,finance_insurance,weighted,5.5,
134,ext::ungc::centrais-electricas-brasileiras-s-a-eletrobras-br,energy_power_utilities,energy_power,weighted,2.0,
