old_industry,new_industry,count
retail_consumer_services,retail_consumer,850
agro_food_beverage,agro_food,795
ict_digital_media,ict_telecom,739
industrial_manufacturing,manufacturing,642
transport_mobility_logistics,transport_logistics,488
construction_infrastructure_realestate,construction_realestate,353
finance_insurance_capital,finance_insurance,291
ict_digital_media,public_social_education,282
energy_power_utilities,energy_power,259
hospitality_tourism_leisure,healthcare_pharma_biotech,145
finance_insurance_capital,ict_telecom,113
mining_materials,mining_metals,106
agro_food_beverage,retail_consumer,47
ict_digital_media,manufacturing,43
public_social_education,transport_logistics,40
industrial_manufacturing,retail_consumer,32
environmental_circular_services,public_social_education,29
ict_digital_media,agro_food,29
ict_digital_media,transport_logistics,27
ict_digital_media,healthcare_pharma_biotech,26
