name,type,sector,country,joined_on,status,ownership,next_cop_due,participant_url,website
IVECOR S.A.,Small or Medium-sized Enterprise,Construction & Materials,Argentina,02-Oct-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/197945-IVECOR-S-A-,http://ivecor.com.ar
HG PERFORACIONES,Small or Medium-sized Enterprise,Industrial metals and mining,Argentina,10-Sep-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/196203-HG-PERFORACIONES,https://www.hgperforaciones.com.ar/
COOPERATIVA DE TRABAJO TAU LIMITADA,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Argentina,15-Aug-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/193892-COOPERATIVA-DE-TRABAJO-TAU-LIMITADA,https://tau.coop.ar/
Topsoe America Latina SA,Small or Medium-sized Enterprise,Chemicals,Argentina,21-Jul-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/192548-Topsoe-America-Latina-SA,https://www.topsoe.com/
3HF SRL,Small or Medium-sized Enterprise,Industrial Support Services,Argentina,11-Jul-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/191261-3HF-SRL,https://3hfenergia-activa.com/
Arpex Argentina SRL,Small or Medium-sized Enterprise,Diversified,Argentina,30-Jun-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/190999-Arpex-Argentina-SRL,https://arpex.com.ar/
VISMA ARGENTINA S.A.,Small or Medium-sized Enterprise,Software & Computer Services,Argentina,13-May-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/185094-VISMA-ARGENTINA-S-A-,https://latam.visma.com/
Del Pinar Sociedad Anónima,Small or Medium-sized Enterprise,Travel & Leisure,Argentina,29-Apr-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/184474-Del-Pinar-Sociedad-An-nima,https://chaltensuiteshotel.com/
CATERWEST S.A.,Company,Food Producers,Argentina,25-Apr-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/183470-CATERWEST-S-A-,https://www.caterwest.com
Henry Hirschen & Cia. S.A.,Small or Medium-sized Enterprise,Chemicals,Argentina,11-Apr-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/182477-Henry-Hirschen-Cia-S-A-,https://www.hirschen.com.ar/
PACIFIC RIM MINING CORPORATION ARGENTINA S.A,Small or Medium-sized Enterprise,Industrial metals and mining,Argentina,21-Mar-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/182185-PACIFIC-RIM-MINING-CORPORATION-ARGENTINA-S-A,https://www.abrasilver.com/
WE BIKE S.R.L.,Small or Medium-sized Enterprise,Software & Computer Services,Argentina,21-Mar-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/182255-WE-BIKE-S-R-L-,https://www.webike.app/
Torre Puerto S.A.,Small or Medium-sized Enterprise,Real Estate Investment & Services development,Argentina,14-Mar-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/169340-Torre-Puerto-S-A-,https://.torrepuerto.com.ar
Sustenia,Small or Medium-sized Enterprise,,Argentina,11-Mar-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/180079-Sustenia,https://sustenia.com.ar
Tambores del Comahue S.A.,Small or Medium-sized Enterprise,General Industrials,Argentina,27-Feb-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/179546-Tambores-del-Comahue-S-A-,https://www.tamboresdelcomahue.com.ar/
CR CONSULTORA EN SUSTENTABILIDAD S.R.L.,Small or Medium-sized Enterprise,Diversified,Argentina,19-Feb-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/179431-CR-CONSULTORA-EN-SUSTENTABILIDAD-S-R-L-,https://crsustentabilidad.com/cr-sustentabilidad
BELLTECH ARGENTINA SA,Small or Medium-sized Enterprise,Software & Computer Services,Argentina,05-Feb-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/170457-BELLTECH-ARGENTINA-SA,https://belltech.la/
The Fut Co Arg S.A.S.,Small or Medium-sized Enterprise,Diversified,Argentina,23-Jan-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/169384-The-Fut-Co-Arg-S-A-S-,https://thefutco.com/
Compañía de Tierras Sud Argentino S.A.U.,Small or Medium-sized Enterprise,Food Producers,Argentina,20-Jan-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/168746-Compa-a-de-Tierras-Sud-Argentino-S-A-U-,https://www.edizione.com/en/compania-de-tierras-sud-argentino/
Ganadera Condor S.A.U.,Small or Medium-sized Enterprise,Food Producers,Argentina,20-Jan-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/168770-Ganadera-Condor-S-A-U-,https://www.edizione.com/en/compania-de-tierras-sud-argentino/
FUNDACION MIR,Civil Society Organization & Other,Not Applicable,Argentina,09-Jan-2025,,,,https://unglobalcompact.org/what-is-gc/participants/167852-FUNDACION-MIR,https://www.fundacionmir.com/
DELVER AGENTS (Adamanto S.R.L.),Small or Medium-sized Enterprise,Diversified,Argentina,09-Jan-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/168599-DELVER-AGENTS-Adamanto-S-R-L-,https://es.delveragents.com
BRINK'S ARGENTINA S.A.,Company,Diversified,Argentina,09-Jan-2025,,,31 July 2026,https://unglobalcompact.org/what-is-gc/participants/168900-BRINK-S-ARGENTINA-S-A-,https://ar.brinks.com/
